subject	run	condition	feature	value
sub-06	5	passive	sensory_S1_L	-1937.7355966009272
sub-06	5	passive	sensory_S1_L	-1611.593706753687
sub-06	5	passive	sensory_S1_L	-2176.5094023332813
sub-06	5	passive	sensory_S1_L	-1978.723014088402
sub-06	5	passive	sensory_S1_L	-1236.7337533440132
sub-06	5	passive	sensory_S1_L	-3300.4836522888727
sub-06	5	passive	sensory_S1_L	-460.8421848875332
sub-06	5	passive	sensory_S1_L	-1589.4829992179602
sub-06	5	passive	sensory_S1_L	-1809.16093532995
sub-06	6	passive	sensory_S1_L	-638.8476295441333
sub-06	6	passive	sensory_S1_L	-402.273113674295
sub-06	6	passive	sensory_S1_L	-1935.6171511341447
sub-06	6	passive	sensory_S1_L	781.2824077679288
sub-06	6	passive	sensory_S1_L	-602.8240185843938
