reg_condition	comparator	feature	n_subjects	mean_diff	sd	se	t	p	q_all_features_within_condition_comparator
down	passive_before	reg_mOFC	32	-3.796667153811942	481.9035852310512	85.1893232487464	-0.044567405973233984	0.9647379736398888	0.9958585534347238
down	passive_before	reg_PAG_sphere	32	1.0046812767773332	2651.797416420136	468.77598387091126	0.0021432012546402043	0.9983037068632078	0.9983037068632078
up	adjacent_mean_passive	reg_SMA_preSMA	33	279.6345214067467	444.83003661535884	77.43497007268891	3.6112175305840664	0.001029350621234066	0.03293921987949011
up	adjacent_mean_passive	reg_dlPFC_IFJ_L	33	347.26198763153343	700.0153657310882	121.85703399943837	2.8497492203292425	0.007592122854452964	0.12147396567124742
up	adjacent_mean_passive	sensory_dACC_MCC	33	178.3295833414612	420.15392950960637	73.13941118960778	2.4382146429803315	0.02049241933929594	0.21858580628582336
up	adjacent_mean_passive	sensory_S1_R	33	186.50679602313923	608.7550708872317	105.97065579119396	1.759985296218557	0.08796769825390287	0.5724945014424956
up	adjacent_mean_passive	expl_hippocampus_L	33	152.85108477153042	501.339489109958	87.2720031022886	1.7514332126922627	0.08945226585038994	0.5724945014424956
up	adjacent_mean_passive	expl_amygdala_R	33	169.4141390123961	654.7730914826403	113.98136494816373	1.4863319024951316	0.1469783809791498	0.612945482885476
up	adjacent_mean_passive	reg_putamen_R	33	175.8631087602364	680.0875590426135	118.38804812277041	1.485480262144903	0.1472026086512051	0.612945482885476
up	adjacent_mean_passive	reg_dlPFC_IFJ_R	33	-112.92571241702063	498.7605294870421	86.823063856327	-1.3006418732686944	0.20267010327149368	0.612945482885476
up	adjacent_mean_passive	sensory_S2_operculum_R	33	145.32570739130358	648.8590971466513	112.95187067681948	1.2866162067126172	0.2074585783662301	0.612945482885476
up	adjacent_mean_passive	reg_NAc_L	33	-133.26113948955245	602.4549695593196	104.87394891974765	-1.2706791425535757	0.21300340528239967	0.612945482885476
up	adjacent_mean_passive	sensory_S1_L	33	123.29104286726289	567.1140573934238	98.7218857705723	1.2488724451008648	0.22077097646141708	0.612945482885476
up	adjacent_mean_passive	reg_NAc_R	33	-147.47836039596694	692.104879738417	120.47999514036378	-1.2240900261005907	0.2298545560820535	0.612945482885476
up	adjacent_mean_passive	expl_amygdala_L	33	99.83642433298643	557.734114634079	97.08904732202694	1.0282974968520078	0.3115202304546348	0.7668190288114087
up	adjacent_mean_passive	sensory_insula_all_L	33	71.03290677870785	424.0887772415443	73.82438025932612	0.9621876476197628	0.34317025170981996	0.7771917969092482
up	adjacent_mean_passive	sensory_insula_all_R	33	88.92756232869564	555.0983810562717	96.63022499907852	0.9202872323803827	0.3643086548012101	0.7771917969092482
up	adjacent_mean_passive	expl_hippocampus_R	33	84.72505420133075	610.4717198838588	106.26948602462551	0.7972660579321674	0.4311728119712981	0.8436256146444374
up	adjacent_mean_passive	sensory_S2_operculum_L	33	68.14269772424501	522.4020453259445	90.93852351680265	0.7493270738187687	0.45913351275320985	0.8436256146444374
up	adjacent_mean_passive	reg_PAG_sphere	33	272.7736314393562	2186.3733390941106	380.59874591353486	0.7166960857546425	0.47876024732054545	0.8436256146444374
up	adjacent_mean_passive	sensory_thalamus_R	33	-46.14829007854888	409.1812275199651	71.22930894775061	-0.6478834451756426	0.5216820861383932	0.8436256146444374
up	adjacent_mean_passive	reg_anterior_insula_R	33	77.91339751472705	705.9277414004981	122.88624649709875	0.6340286218813472	0.5305686735276928	0.8436256146444374
up	adjacent_mean_passive	expl_hypothalamus	33	-114.29192841909958	1152.7337974161971	200.66519739512185	-0.5695652754077325	0.5729495433516378	0.8436256146444374
up	adjacent_mean_passive	reg_mOFC	33	50.229904850216016	516.1047235881384	89.8423005098865	0.559089700120586	0.5799926100680507	0.8436256146444374
up	adjacent_mean_passive	sensory_posterior_insula_L	33	41.702999768173484	541.9383855220728	94.33936382409773	0.44205301029940813	0.6614240923376612	0.8714417012526237
up	adjacent_mean_passive	reg_vmPFC_mOFC	33	36.026432024629344	475.6800839667983	82.80527400174978	0.43507412370700044	0.6664289438150846	0.8714417012526237
up	adjacent_mean_passive	reg_pgACC_rACC	33	27.53744988293149	387.4936121411374	67.45397969933553	0.4082405516423926	0.6858159805029814	0.8714417012526237
up	adjacent_mean_passive	reg_caudate_L	33	-34.866325351552774	530.1009930136606	92.2787382836058	-0.3778370402551019	0.7080463822677567	0.8714417012526237
up	adjacent_mean_passive	reg_putamen_L	33	-40.04815632562381	722.619669290652	125.79193817759828	-0.3183682269771705	0.7522742449584571	0.8915842903211343
up	adjacent_mean_passive	reg_vmPFC	33	19.112571724068843	586.6866178657768	102.12903121865067	0.18714141802784995	0.8527312657231139	0.974550017969273
up	adjacent_mean_passive	sensory_thalamus_L	33	10.157527435078137	397.8344762522369	69.25409308435214	0.1466704274461608	0.8843123031401111	0.9757928862235709
up	adjacent_mean_passive	sensory_posterior_insula_R	33	8.483453581907144	626.1049746902826	108.99088637628591	0.07783635736861905	0.9384428971223134	0.9794189268561048
up	adjacent_mean_passive	reg_caudate_R	33	6.187576260390487	549.3452569786042	95.62873464521589	0.064704152819197	0.9488120853918515	0.9794189268561048
up	adjacent_mean_passive	reg_anterior_insula_L	33	0.546146426412947	492.42185618534296	85.71964246609825	0.006371310130335011	0.9949560194560848	0.9949560194560848
up	nearest_passive	reg_SMA_preSMA	32	314.41040541122084	509.58503062099794	90.08275768581552	3.490239569572236	0.0014710104997032274	0.047072335990503276
up	nearest_passive	reg_dlPFC_IFJ_L	32	404.7396908714055	844.3366223993615	149.25903782568346	2.711659520035849	0.010820119424350473	0.17312191078960756
