measure	contrast	omitted_participant	n	direct_mean_without_participant	direct_sd_without_participant
signature_weighted_mean	regulation_mean_minus_passive	sub-23	32	0.013519582994682484	0.10753124662159441
signature_weighted_mean	regulation_mean_minus_passive	sub-24	32	0.013756449999663484	0.10749744063001662
signature_weighted_mean	regulation_mean_minus_passive	sub-25	32	0.013959513219743168	0.10745429161975835
signature_weighted_mean	regulation_mean_minus_passive	sub-26	32	0.013639147806236778	0.10751640532581039
signature_weighted_mean	regulation_mean_minus_passive	sub-27	32	0.01375829164421165	0.10749710809175425
signature_weighted_mean	regulation_mean_minus_passive	sub-28	32	0.013998852815204334	0.10744441866917118
signature_weighted_mean	regulation_mean_minus_passive	sub-29	32	0.013539276623744574	0.10752911377838023
signature_weighted_mean	regulation_mean_minus_passive	sub-30	32	0.013953064777056703	0.10745586308090697
signature_weighted_mean	regulation_mean_minus_passive	sub-31	32	0.013881008179322188	0.10747252495139302
signature_weighted_mean	regulation_mean_minus_passive	sub-32	32	0.01369923199148086	0.10750723636676322
signature_weighted_mean	regulation_mean_minus_passive	sub-33	32	0.01361187465889357	0.10752018958878168
signature_weighted_mean	up_minus_down	sub-01	32	0.027853573929700934	0.16942593129798958
signature_weighted_mean	up_minus_down	sub-02	32	0.028888663043663887	0.1691598584319067
signature_weighted_mean	up_minus_down	sub-03	32	0.027846713093113904	0.16942697486118272
signature_weighted_mean	up_minus_down	sub-04	32	0.028062553182942276	0.16938960616789864
signature_weighted_mean	up_minus_down	sub-05	32	0.02795514078234481	0.16940937458567404
signature_weighted_mean	up_minus_down	sub-06	32	-0.0018906620463541564	0.010373110034635622
signature_weighted_mean	up_minus_down	sub-07	32	0.027999570814139757	0.16940147921593335
signature_weighted_mean	up_minus_down	sub-08	32	0.02802439373779013	0.16939689509124653
signature_weighted_mean	up_minus_down	sub-09	32	0.027918790303551867	0.1694155387044335
signature_weighted_mean	up_minus_down	sub-10	32	0.028085305961924358	0.16938512059879468
signature_weighted_mean	up_minus_down	sub-11	32	0.027955222469077744	0.16940936043421778
signature_weighted_mean	up_minus_down	sub-12	32	0.027933699835262133	0.16941304259241236
signature_weighted_mean	up_minus_down	sub-13	32	0.028311423288496736	0.16933487640070535
signature_weighted_mean	up_minus_down	sub-14	32	0.02762546823508505	0.16945555125767683
signature_weighted_mean	up_minus_down	sub-15	32	0.028020555260381413	0.1693976120614482
signature_weighted_mean	up_minus_down	sub-16	32	0.02773103925581594	0.16944314363294552
signature_weighted_mean	up_minus_down	sub-17	32	0.028163640347638633	0.16936888023536667
signature_weighted_mean	up_minus_down	sub-18	32	0.02837609700764755	0.16931861109825772
signature_weighted_mean	up_minus_down	sub-19	32	0.027406950146821093	0.16947411327907602
signature_weighted_mean	up_minus_down	sub-20	32	0.02764840945737459	0.16945304561861768
signature_weighted_mean	up_minus_down	sub-21	32	0.028303883518649254	0.16933671777076947
signature_weighted_mean	up_minus_down	sub-22	32	0.02748494344285763	0.16946858989676097
signature_weighted_mean	up_minus_down	sub-23	32	0.027590908929056537	0.16945912602301516
signature_weighted_mean	up_minus_down	sub-24	32	0.027964681450162614	0.1694077126737013
signature_weighted_mean	up_minus_down	sub-25	32	0.027889357228297322	0.1694203349905309
signature_weighted_mean	up_minus_down	sub-26	32	0.02794458770243316	0.16941119151399564
signature_weighted_mean	up_minus_down	sub-27	32	0.028016904107625872	0.16939829128988973
signature_weighted_mean	up_minus_down	sub-28	32	0.028687527404752788	0.16922847678718392
signature_weighted_mean	up_minus_down	sub-29	32	0.02811265368330688	0.1693795912319384
signature_weighted_mean	up_minus_down	sub-30	32	0.028024471983662317	0.16939688044524148
signature_weighted_mean	up_minus_down	sub-31	32	0.027660463936141362	0.16945168661194937
signature_weighted_mean	up_minus_down	sub-32	32	0.02794797588903034	0.16941061061123902
signature_weighted_mean	up_minus_down	sub-33	32	0.028544653638282	0.16927225652125713
