effect	roi	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	reg_success_z_down	33	0.04584551400601945	0.8000049548607293	-0.014705882352941178	0.9352624242198881	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	success_asymmetry_z_up_minus_down	33	0.05000321833866506	0.7822841126774516	0.14772727272727273	0.4119752829385066	0.9610255753040781	0.92527996603864
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	task_separation_rating_z_up_minus_down	33	0.12576330799164126	0.48556808923041705	0.16945187165775402	0.34581648231955997	0.924017602638748	0.8453291790033688
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	passive_sensory_slope_z	33	0.31446028059957676	0.07469910417680364	0.1891711229946524	0.2917176880397182	0.46953722625419436	0.7550340161028001
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	passive_withinrun_slope_z	33	0.040043622193609234	0.8248962548048362	0.0046791443850267385	0.9793823278219826	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_posterior_insula_R	targeted_sensory	passive_acrossrun_slope_z	33	-0.014161243397587401	0.9376552752051698	0.06951871657754011	0.7006658239714338	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	mean_reg_success_z	33	-0.04947932372733331	0.7845113318801309	-0.02038770053475936	0.9103365440548119	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	reg_success_z_up	33	0.01643313110646292	0.9276775956565699	-0.03141711229946524	0.8622102636715578	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	reg_success_z_down	33	-0.09853320116567589	0.5853853109561935	-0.014037433155080216	0.9381993063202716	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	success_asymmetry_z_up_minus_down	33	0.08884638420141092	0.6229467629649781	0.039104278074866314	0.8289426989227944	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	task_separation_rating_z_up_minus_down	33	-0.041823533579039646	0.8172410706622327	-0.0731951871657754	0.6856206349165245	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	passive_sensory_slope_z	33	0.21864447036290868	0.2215397840579996	0.286096256684492	0.10651229277786783	0.7798200398841585	0.4762142619901338
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	passive_withinrun_slope_z	33	-0.11934886991032051	0.5082647711766548	-0.1109625668449198	0.5387156719824292	0.924017602638748	0.9816073788511099
stim_up_temp_FE	sensory_thalamus_L	targeted_sensory	passive_acrossrun_slope_z	33	-0.040042626034617605	0.8249005436693474	-0.09391711229946524	0.6031601242581388	0.9610255753040781	0.9850394190154476
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	mean_reg_success_z	33	-0.1481580313206367	0.4105980930675725	-0.05949197860962566	0.742254450552122	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	reg_success_z_up	33	-0.013145434023671371	0.9421196105620663	-0.007687165775401069	0.9661341984993728	0.9610255753040781	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	reg_success_z_down	33	-0.2271229194510527	0.2036920152872036	-0.08088235294117647	0.6545483098680834	0.7793433628379964	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	success_asymmetry_z_up_minus_down	33	0.16238299565151565	0.366598003281763	0.1467245989304813	0.41519102511589856	0.924017602638748	0.92527996603864
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	task_separation_rating_z_up_minus_down	33	-0.11844082889284452	0.5115199215070868	-0.0661764705882353	0.7144410036926252	0.924017602638748	0.9911630914606229
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	passive_sensory_slope_z	33	0.2035079864761328	0.2559883603688398	0.3622994652406417	0.03826666165208857	0.8270438998475974	0.3003395131088072
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	passive_withinrun_slope_z	33	-0.1967112870756155	0.27254855790432186	-0.19351604278074866	0.2805691827387233	0.8270438998475974	0.7550340161028001
stim_up_temp_FE	sensory_thalamus_R	targeted_sensory	passive_acrossrun_slope_z	33	-0.004514838528994713	0.9801061620088188	-0.13636363636363638	0.4492356356420384	0.9801061620088188	0.9506835582866144
up_minus_down_FE	expl_amygdala_L	exploratory_context	mean_reg_success_z	33	0.004824403433443055	0.9787424159993096	-0.13636363636363638	0.4492356356420384	0.9846471475944094	0.7187770170272614
up_minus_down_FE	expl_amygdala_L	exploratory_context	reg_success_z_up	33	0.16363609404330562	0.3628611248936337	0.06684491978609626	0.7116787187166578	0.6314603762644664	0.8133471071047518
up_minus_down_FE	expl_amygdala_L	exploratory_context	reg_success_z_down	33	-0.17038508782862496	0.3431273738085658	-0.3863636363636364	0.026354018438314336	0.6314603762644664	0.1605415041798726
up_minus_down_FE	expl_amygdala_L	exploratory_context	success_asymmetry_z_up_minus_down	33	0.2660288436619974	0.134547233551795	0.4435160427807487	0.00973113238791186	0.6314603762644664	0.1431886303241235
up_minus_down_FE	expl_amygdala_L	exploratory_context	task_separation_rating_z_up_minus_down	33	-0.024882011691242666	0.8906783024071737	-0.11931818181818182	0.5083746131110635	0.9846471475944094	0.7531475749793533
up_minus_down_FE	expl_amygdala_L	exploratory_context	passive_sensory_slope_z	33	0.19124544116302686	0.2863604508551908	0.2850935828877006	0.10779901705379707	0.6314603762644664	0.4309724097085892
up_minus_down_FE	expl_amygdala_L	exploratory_context	passive_withinrun_slope_z	33	-0.0337069151060634	0.852273748347752	-0.3823529411764706	0.028094763231477703	0.9846471475944094	0.1605415041798726
up_minus_down_FE	expl_amygdala_L	exploratory_context	passive_acrossrun_slope_z	33	0.38684529999984185	0.02615105632041959	0.07887700534759359	0.6626020370825527	0.2261653061992303	0.8031539843424882
up_minus_down_FE	expl_amygdala_R	exploratory_context	mean_reg_success_z	33	0.0034841385392328805	0.9846471475944094	-0.20721925133689842	0.24723253462821249	0.9846471475944094	0.609666544577451
up_minus_down_FE	expl_amygdala_R	exploratory_context	reg_success_z_up	33	0.15290568474344118	0.39559237027163263	-0.14037433155080214	0.43588204030405986	0.6329477924346122	0.7187770170272614
up_minus_down_FE	expl_amygdala_R	exploratory_context	reg_success_z_down	33	-0.1608806967988496	0.37110796378069383	-0.2827540106951872	0.11084682757672065	0.6314603762644664	0.4309724097085892
up_minus_down_FE	expl_amygdala_R	exploratory_context	success_asymmetry_z_up_minus_down	33	0.24985728319057765	0.16081547495641216	0.14371657754010697	0.4249224051589565	0.6314603762644664	0.7187770170272614
up_minus_down_FE	expl_amygdala_R	exploratory_context	task_separation_rating_z_up_minus_down	33	-0.023403129714143163	0.8971404966177585	-0.20454545454545456	0.2535203562234606	0.9846471475944094	0.609666544577451
up_minus_down_FE	expl_amygdala_R	exploratory_context	passive_sensory_slope_z	33	0.1788179629866469	0.31940679822853824	0.058155080213903754	0.7478570431344127	0.6314603762644664	0.8309522701493475
up_minus_down_FE	expl_amygdala_R	exploratory_context	passive_withinrun_slope_z	33	-0.037518810941360836	0.8357822146618907	-0.42245989304812837	0.01431886303241235	0.9846471475944094	0.1431886303241235
up_minus_down_FE	expl_amygdala_R	exploratory_context	passive_acrossrun_slope_z	33	0.38195909552017476	0.02827066327490379	-0.14872994652406418	0.40877363131776545	0.2261653061992303	0.7187770170272614
up_minus_down_FE	expl_hippocampus_L	exploratory_context	mean_reg_success_z	33	0.008510370792616347	0.9625099852636934	-0.13636363636363638	0.4492356356420384	0.9846471475944094	0.7187770170272614
up_minus_down_FE	expl_hippocampus_L	exploratory_context	reg_success_z_up	33	0.16139760087793092	0.3695525179819285	0.03208556149732621	0.8593073405151728	0.6314603762644664	0.9045340426475503
up_minus_down_FE	expl_hippocampus_L	exploratory_context	reg_success_z_down	33	-0.16193997472772165	0.3679245786785466	-0.402072192513369	0.020366511643865264	0.6314603762644664	0.1605415041798726
up_minus_down_FE	expl_hippocampus_L	exploratory_context	success_asymmetry_z_up_minus_down	33	0.2577240455858096	0.1476120144159173	0.4435160427807487	0.00973113238791186	0.6314603762644664	0.1431886303241235
up_minus_down_FE	expl_hippocampus_L	exploratory_context	task_separation_rating_z_up_minus_down	33	-0.020374460003659303	0.9103945414100151	-0.080548128342246	0.6558879769223642	0.9846471475944094	0.8031539843424882
up_minus_down_FE	expl_hippocampus_L	exploratory_context	passive_sensory_slope_z	33	0.1771019314963047	0.3241490541877628	0.1233288770053476	0.49412008966351806	0.6314603762644664	0.7531475749793533
up_minus_down_FE	expl_hippocampus_L	exploratory_context	passive_withinrun_slope_z	33	-0.014563153551204624	0.9358894449857004	-0.29745989304812837	0.09272658787187307	0.9846471475944094	0.4309724097085892
up_minus_down_FE	expl_hippocampus_L	exploratory_context	passive_acrossrun_slope_z	33	0.40148375658803137	0.020568428639390967	0.18482620320855617	0.3031452156624844	0.2261653061992303	0.638200454026283
up_minus_down_FE	expl_hippocampus_R	exploratory_context	mean_reg_success_z	33	0.005046480345796536	0.9777641225837859	-0.20688502673796794	0.24801278172530072	0.9846471475944094	0.609666544577451
up_minus_down_FE	expl_hippocampus_R	exploratory_context	reg_success_z_up	33	0.15831805535237847	0.3788762257586798	-0.08422459893048129	0.6412103483753364	0.6314603762644664	0.8031539843424882
up_minus_down_FE	expl_hippocampus_R	exploratory_context	reg_success_z_down	33	-0.16423030259719462	0.3610970826096791	-0.4268048128342246	0.013247195467651776	0.6314603762644664	0.1431886303241235
up_minus_down_FE	expl_hippocampus_R	exploratory_context	success_asymmetry_z_up_minus_down	33	0.2569120011455313	0.1489372578137051	0.277072192513369	0.11851741266986203	0.6314603762644664	0.4309724097085892
up_minus_down_FE	expl_hippocampus_R	exploratory_context	task_separation_rating_z_up_minus_down	33	-0.023707284182167096	0.8958109049125257	-0.16945187165775402	0.34581648231955997	0.9846471475944094	0.6916329646391199
up_minus_down_FE	expl_hippocampus_R	exploratory_context	passive_sensory_slope_z	33	0.18053334302457866	0.31470971246061863	0.1002673796791444	0.5787679823624801	0.6314603762644664	0.7983006653275587
up_minus_down_FE	expl_hippocampus_R	exploratory_context	passive_withinrun_slope_z	33	-0.01665827078971766	0.9266893907940752	-0.20220588235294118	0.25910828144541664	0.9846471475944094	0.609666544577451
up_minus_down_FE	expl_hippocampus_R	exploratory_context	passive_acrossrun_slope_z	33	0.3957984484143397	0.02260610993452213	0.1019385026737968	0.572423067803052	0.2261653061992303	0.7983006653275587
up_minus_down_FE	expl_hypothalamus	exploratory_context	mean_reg_success_z	33	0.013845121117080151	0.9390443935514647	0.07386363636363637	0.6828976306872525	0.9846471475944094	0.8034089772791206
up_minus_down_FE	expl_hypothalamus	exploratory_context	reg_success_z_up	33	0.1681312714445213	0.349643601123734	0.19351604278074866	0.2805691827387233	0.6314603762644664	0.6234870727527184
up_minus_down_FE	expl_hypothalamus	exploratory_context	reg_success_z_down	33	-0.160581245535864	0.37201082382322764	-0.024064171122994655	0.8942511515271847	0.6314603762644664	0.9171806682330099
up_minus_down_FE	expl_hypothalamus	exploratory_context	success_asymmetry_z_up_minus_down	33	0.26228426193247284	0.14032861634547195	0.21824866310160426	0.22239820005625166	0.6314603762644664	0.609666544577451
up_minus_down_FE	expl_hypothalamus	exploratory_context	task_separation_rating_z_up_minus_down	33	-0.013070482257799129	0.9424490828757826	0.07954545454545456	0.6599132825015057	0.9846471475944094	0.8031539843424882
up_minus_down_FE	expl_hypothalamus	exploratory_context	passive_sensory_slope_z	33	0.19010660395613144	0.28929379502623054	0.2647058823529412	0.13656944517056194	0.6314603762644664	0.4552314839018731
up_minus_down_FE	expl_hypothalamus	exploratory_context	passive_withinrun_slope_z	33	-0.01419369702784981	0.9375126761851201	-0.004010695187165776	0.9823272134277938	0.9846471475944094	0.9823272134277938
up_minus_down_FE	expl_hypothalamus	exploratory_context	passive_acrossrun_slope_z	33	0.39269336418590683	0.02378761196104129	0.05147058823529412	0.7760550005541944	0.2261653061992303	0.8389783789775074
