effect	roi	comparison_set	n_overlap_subjects	pearson_r	pearson_p	main_mean	comparison_mean
stim_down_FE	reg_putamen_L	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	0.01152113759819644	0.00510733222696357
stim_down_FE	reg_putamen_R	fd_bad_run_exclude	30	1.0	0.0	0.019181781540145024	0.01949311209997783
stim_down_FE	reg_putamen_R	high_motion_subject_exclude	26	1.0	0.0	0.019181781540145024	0.017683654316127874
stim_down_FE	reg_vmPFC	fd_bad_run_exclude	30	0.9999999999999996	2.841104936914004e-212	-0.025657047447042936	-0.03277441867006322
stim_down_FE	reg_vmPFC	high_motion_subject_exclude	26	1.0	0.0	-0.025657047447042936	-0.03869650063391488
stim_down_FE	reg_vmPFC_mOFC	fd_bad_run_exclude	30	1.0	0.0	-0.013149547260113512	-0.018097563704941422
stim_down_FE	reg_vmPFC_mOFC	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.013149547260113512	-0.024019749257534456
stim_down_FE	sensory_S1_L	fd_bad_run_exclude	30	1.0	0.0	-0.021615227881931896	-0.022907398299624522
stim_down_FE	sensory_S1_L	high_motion_subject_exclude	26	0.9999999999999997	3.8843150512797476e-182	-0.021615227881931896	-0.025017168623610184
stim_down_FE	sensory_S1_R	fd_bad_run_exclude	30	0.9999999999999997	2.841104936914004e-212	-0.016755727735333934	-0.01681035678872528
stim_down_FE	sensory_S1_R	high_motion_subject_exclude	26	0.9999999999999999	0.0	-0.016755727735333934	-0.02196126149367326
stim_down_FE	sensory_S2_operculum_L	fd_bad_run_exclude	30	1.0	0.0	0.020558897977356206	0.019683830831975987
stim_down_FE	sensory_S2_operculum_L	high_motion_subject_exclude	26	0.9999999999999998	9.483191043163456e-186	0.020558897977356206	0.017560369823163804
stim_down_FE	sensory_S2_operculum_R	fd_bad_run_exclude	30	0.9999999999999997	2.841104936914004e-212	0.040208634414187996	0.042674695422950513
stim_down_FE	sensory_S2_operculum_R	high_motion_subject_exclude	26	1.0	0.0	0.040208634414187996	0.042481592894406416
stim_down_FE	sensory_dACC_MCC	fd_bad_run_exclude	30	1.0	0.0	0.010961337780000495	0.00990766613916397
stim_down_FE	sensory_dACC_MCC	high_motion_subject_exclude	26	1.0	0.0	0.010961337780000495	0.007662273839741829
stim_down_FE	sensory_insula_all_L	fd_bad_run_exclude	30	0.9999999999999998	1.734072837471929e-216	0.023014105517755856	0.02067495739708344
stim_down_FE	sensory_insula_all_L	high_motion_subject_exclude	26	0.9999999999999999	0.0	0.023014105517755856	0.018386196774932053
stim_down_FE	sensory_insula_all_R	fd_bad_run_exclude	30	1.0	0.0	0.02890856713973776	0.0382085724772575
stim_down_FE	sensory_insula_all_R	high_motion_subject_exclude	26	0.9999999999999997	3.8843150512797476e-182	0.02890856713973776	0.03472737351862284
stim_down_FE	sensory_posterior_insula_L	fd_bad_run_exclude	30	1.0	0.0	0.02564372339772738	0.022101920006874328
stim_down_FE	sensory_posterior_insula_L	high_motion_subject_exclude	26	1.0	0.0	0.02564372339772738	0.020519426703685895
stim_down_FE	sensory_posterior_insula_R	fd_bad_run_exclude	30	1.0	0.0	0.021925005772517936	0.030893289445278544
stim_down_FE	sensory_posterior_insula_R	high_motion_subject_exclude	26	0.9999999999999994	3.8843150512797476e-182	0.021925005772517936	0.02468046844184685
stim_down_FE	sensory_thalamus_L	fd_bad_run_exclude	30	1.0	0.0	-0.005911564867181534	-0.005911910987924785
stim_down_FE	sensory_thalamus_L	high_motion_subject_exclude	26	1.0	0.0	-0.005911564867181534	-0.0042099456813258045
stim_down_FE	sensory_thalamus_R	fd_bad_run_exclude	30	1.0	0.0	-0.0012263629583740662	0.00045320191129576414
stim_down_FE	sensory_thalamus_R	high_motion_subject_exclude	26	1.0	0.0	-0.0012263629583740662	0.0011855302022573037
stim_down_temp_FE	expl_amygdala_L	fd_bad_run_exclude	30	0.9999999999999996	2.841104936914004e-212	-0.015022249685760911	-0.014227186862990493
