subject	run	run_label	fd_mean
sub-06	8	run-08	0.3373067806940588
sub-06	9	run-09	0.2180267793918119
sub-07	1	run-01	0.1678626715341029
sub-07	2	run-02	0.165801154865017
sub-07	3	run-03	0.2047780051614206
sub-07	4	run-04	0.1522933958148608
sub-07	5	run-05	0.2602858360099915
sub-07	6	run-06	0.2828809814420906
sub-07	7	run-07	0.2130936118112001
sub-07	8	run-08	0.2160744452206097
sub-07	9	run-09	0.2084950138346495
sub-08	1	run-01	0.0760419356121779
sub-08	2	run-02	0.0763401149208142
sub-08	3	run-03	0.0744717681327321
sub-08	4	run-04	0.0812391203422469
sub-08	5	run-05	0.0991907340790464
sub-08	6	run-06	0.096648478225038
sub-08	7	run-07	0.0859917302183162
sub-08	8	run-08	0.1071068588526065
sub-08	9	run-09	0.0967696512329487
sub-09	1	run-01	0.103322154384859
sub-09	2	run-02	0.0933176100529496
sub-09	3	run-03	0.1302991114469154
sub-09	4	run-04	0.1384779681473913
sub-09	5	run-05	0.134898980859249
sub-09	6	run-06	0.167725921058249
sub-09	7	run-07	0.1722051685248528
sub-09	8	run-08	0.2434311824606909
sub-09	9	run-09	0.1474840308257575
sub-10	1	run-01	0.3072720603277836
sub-10	2	run-02	0.398959952513623
sub-10	3	run-03	0.4177688883716662
sub-10	4	run-04	0.3831182197668538
sub-10	5	run-05	0.4470547503686213
sub-10	6	run-06	0.5391336330417416
sub-10	7	run-07	0.3211266206259659
sub-10	8	run-08	0.2648673545367483
sub-10	9	run-09	0.3324687157165947
sub-11	1	run-01	0.0958302892676576
sub-11	2	run-02	0.1071616062646918
sub-11	3	run-03	0.1334368584867082
sub-11	4	run-04	0.1752465642345677
sub-11	5	run-05	0.2244273731553016
sub-11	6	run-06	0.1819379351855183
sub-11	7	run-07	0.1337147554487095
sub-11	8	run-08	0.125225709659995
sub-11	9	run-09	0.1310667107427501
sub-12	1	run-01	0.1859949763722287
sub-12	2	run-02	0.1221831263373388
sub-12	3	run-03	0.1029352965610308
sub-12	4	run-04	0.1963037440050152
sub-12	5	run-05	0.1973278060336199
sub-12	6	run-06	0.1884542510406452
sub-12	7	run-07	0.2695951522920758
sub-12	8	run-08	0.3159631120427906
sub-12	9	run-09	0.1683955663379439
sub-13	1	run-01	0.137453048671823
sub-13	2	run-02	0.1601491042056357
sub-13	3	run-03	0.1577702037003148
sub-13	4	run-04	0.1513609436642832
sub-13	5	run-05	0.1693338228678791
sub-13	6	run-06	0.2099051319362739
sub-13	7	run-07	0.1393036582784949
sub-13	8	run-08	0.1768588957709753
sub-13	9	run-09	0.1674422540924572
sub-14	1	run-01	0.1072330841446928
sub-14	2	run-02	0.093293844940487
sub-14	3	run-03	0.0944876270767915
