subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive	target	family
sub-09	sensory_S1_R	sensory_S1_R	-838.250600244379	-303.9320740687347	-159.52586394679102	678.724736297588	144.4062101219437	-534.3185261756444	-194.9561580268503	sensory_S1_S2_thalamus	sensory
sub-09	sensory_S2_operculum_L	sensory_S2_operculum_L	-1049.0377276390814	211.688956117549	521.5535439546451	1570.5912715937266	309.8645878370961	-1260.7266837566303	-475.4310479597672	sensory_S1_S2_thalamus	sensory
sub-09	sensory_S2_operculum_R	sensory_S2_operculum_R	200.12485319692777	921.0695663226512	814.8857146226003	614.7608614256725	-106.18385170005092	-720.9447131257234	-413.5642824128872	sensory_S1_S2_thalamus	sensory
sub-09	sensory_thalamus_L	sensory_thalamus_L	-179.00967038778828	-63.0201638321189	280.40083270096164	459.4105030887499	343.42099653308054	-115.98950655566938	113.71574498870558	sensory_S1_S2_thalamus	sensory
sub-09	sensory_thalamus_R	sensory_thalamus_R	277.73684333624016	339.7322095843992	499.2916967705109	221.55485343427068	159.55948718611165	-61.99536624815903	48.78206046897634	sensory_S1_S2_thalamus	sensory
sub-10	expl_hypothalamus	expl_hypothalamus	-824.6228169700898	400.07579187785626	-653.3806423015691	171.24217466852076	-1053.4564341794253	-1224.6986088479462	-1139.0775215136855	sensory_S1_S2_thalamus	sensory
sub-10	sensory_S1_L	sensory_S1_L	-543.3986009291915	98.15579651076148	-231.0707269423674	312.3278739868241	-329.2265234531289	-641.5543974399529	-485.39046044654094	sensory_S1_S2_thalamus	sensory
sub-10	sensory_S1_R	sensory_S1_R	-474.1464179708984	-30.229610877823927	-131.35413415728598	342.79228381361247	-101.12452327946204	-443.9168070930745	-272.5206651862683	sensory_S1_S2_thalamus	sensory
sub-10	sensory_S2_operculum_L	sensory_S2_operculum_L	180.91232165031835	337.3320383012969	453.7965385881938	272.88421693787546	116.46450028689692	-156.41971665097856	-19.9776081820408	sensory_S1_S2_thalamus	sensory
sub-10	sensory_S2_operculum_R	sensory_S2_operculum_R	510.56496911498215	558.6242344624194	753.7674966143661	243.202527499384	195.14326215194671	-48.05926534743725	73.54199840225476	sensory_S1_S2_thalamus	sensory
sub-10	sensory_thalamus_L	sensory_thalamus_L	-201.38736365903085	207.2424365642223	-163.38975756139914	37.99760609763169	-370.6321941256214	-408.62980022325314	-389.6309971744373	sensory_S1_S2_thalamus	sensory
sub-10	sensory_thalamus_R	sensory_thalamus_R	277.2445394740388	199.60105778794093	-182.9368445016356	-460.1813839756743	-382.53790228957655	77.6434816860978	-152.44721030173935	sensory_S1_S2_thalamus	sensory
sub-11	expl_hypothalamus	expl_hypothalamus	226.97399690084197	-314.3835556548757	-1138.6221837658763	-1365.5961806667185	-824.2386281110006	541.3575525557177	-141.44053777764145	sensory_S1_S2_thalamus	sensory
sub-11	sensory_S1_L	sensory_S1_L	-338.37537780526924	-742.3415847342184	-474.9264811271988	-136.5511033219296	267.41510360701955	403.96620692894913	335.6906552679843	sensory_S1_S2_thalamus	sensory
sub-11	sensory_S1_R	sensory_S1_R	339.0653804189624	297.8176235279357	719.448675634673	380.3832952157106	421.6310521067373	41.247756891026654	231.439404498882	sensory_S1_S2_thalamus	sensory
sub-11	sensory_S2_operculum_L	sensory_S2_operculum_L	425.828411453178	841.7588095933535	1133.1070572095662	707.2786457563882	291.3482476162127	-415.9303981401755	-62.291075261981405	sensory_S1_S2_thalamus	sensory
sub-11	sensory_S2_operculum_R	sensory_S2_operculum_R	447.2549779508743	1080.8061345014316	1542.41659278398	1095.1616148331057	461.6104582825483	-633.5511565505574	-85.97034913400455	sensory_S1_S2_thalamus	sensory
sub-11	sensory_thalamus_L	sensory_thalamus_L	-661.789309907165	-165.70977656304254	-744.8725446290232	-83.08323472185816	-579.1627680659807	-496.0795333441225	-537.6211507050516	sensory_S1_S2_thalamus	sensory
sub-11	sensory_thalamus_R	sensory_thalamus_R	-111.52029227199009	82.84538838915435	-590.2866250704955	-478.76633279850535	-673.1320134596498	-194.36568066114444	-433.7488470603971	sensory_S1_S2_thalamus	sensory
sub-12	expl_hypothalamus	expl_hypothalamus	-251.8578904425468	1074.0805781791928	-1465.9439716399943	-1214.0860811974476	-2540.024549819187	-1325.9384686217395	-1932.9815092204635	sensory_S1_S2_thalamus	sensory
sub-12	sensory_S1_L	sensory_S1_L	-282.665371682571	-606.9389506463315	-228.5427811038976	54.1225905786734	378.3961695424339	324.2735789637605	351.33487425309715	sensory_S1_S2_thalamus	sensory
sub-12	sensory_S1_R	sensory_S1_R	-201.2585833338283	-278.7058443582652	-30.858342744697712	170.4002405891306	247.8475016135675	77.4472610244369	162.6473813190022	sensory_S1_S2_thalamus	sensory
sub-12	sensory_S2_operculum_L	sensory_S2_operculum_L	286.71409318101	-93.2231018231154	-138.0338565164947	-424.7479496975046	-44.810754693379295	379.9371950041253	167.56322015537302	sensory_S1_S2_thalamus	sensory
sub-12	sensory_S2_operculum_R	sensory_S2_operculum_R	642.200650692809	429.5480224010165	67.94597340379487	-574.2546772890141	-361.6020489972216	212.65262829179244	-74.47471035271462	sensory_S1_S2_thalamus	sensory
