subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive
sub-23	reg_dlPFC_IFJ_L	reg_dlPFC_IFJ_L	109.24764272852539	-98.02372530669331	89.13617322216814	-20.111469506357253	187.15989852886145	207.2713680352187	197.21563328204007
sub-23	reg_dlPFC_IFJ_R	reg_dlPFC_IFJ_R	-287.3523142524656	-426.6268935018739	-610.3713042573684	-323.0189900049028	-183.74441075549447	139.2745792494083	-22.234915753043083
sub-23	reg_mOFC	reg_mOFC	-28.425997335853197	297.7141710695979	411.7273666026416	440.1533639384948	114.0131955330437	-326.1401684054511	-106.0634864362037
sub-23	reg_pgACC_rACC	reg_pgACC_rACC	-63.286927862436734	251.3970227790702	862.9291149582426	926.2160428206794	611.5320921791724	-314.68395064150695	148.42407076883273
sub-23	reg_putamen_L	reg_putamen_L	165.12122102246838	404.729784784274	661.9009476543374	496.77972663186904	257.1711628700634	-239.6085637618056	8.781299554128907
sub-23	reg_putamen_R	reg_putamen_R	-156.46792466646292	155.29011677298843	681.5483057489179	838.0162304153807	526.2581889759294	-311.75804143945135	107.25007376823908
sub-23	reg_vmPFC	reg_vmPFC	-247.72110748177198	419.00638770778266	563.1758599756582	810.8969674574303	144.16947226787556	-666.7274951895547	-261.27901146083957
sub-23	reg_vmPFC_mOFC	reg_vmPFC_mOFC	-128.5230115984178	353.07787129389516	480.8558665090977	609.3788781075156	127.77799521520257	-481.60088289231294	-176.91144383855521
sub-23	sensory_S1_L	sensory_S1_L	-290.00045711744514	-285.57768609853497	174.52706422806378	464.52752134550894	460.1047503265987	-4.4227710189101686	227.8409896538443
sub-23	sensory_S1_R	sensory_S1_R	13.478279500882014	-131.93489047408104	362.6657420953446	349.1874625944626	494.60063256942567	145.41316997496307	320.00690127219434
sub-23	sensory_S2_operculum_L	sensory_S2_operculum_L	573.3753083107242	831.0119832263856	1442.322026687699	868.9467183769748	611.3100434613134	-257.6366749156614	176.836684272826
sub-23	sensory_S2_operculum_R	sensory_S2_operculum_R	896.2241087282764	681.7041421321912	1224.9146726137676	328.6905638854912	543.2105304815764	214.51996659608517	378.8652485388309
sub-23	sensory_dACC_MCC	sensory_dACC_MCC	188.01781406809897	-30.283050635622406	537.8949458683153	349.8771318002163	568.1779965039377	218.30086470372137	393.23943060382953
sub-23	sensory_insula_all_L	sensory_insula_all_L	929.6014651036336	927.8402639215366	1456.5719444758765	526.970479372243	528.73168055434	1.761201182097011	265.24644086821843
sub-23	sensory_insula_all_R	sensory_insula_all_R	378.53099954947913	512.3825886605172	1599.3818908968128	1220.8508913473338	1086.9993022362955	-133.85158911103804	476.57385656262875
sub-23	sensory_posterior_insula_L	sensory_posterior_insula_L	1178.525599862592	1292.637351306428	1952.4166174873885	773.8910176247966	659.7792661809606	-114.11175144383606	272.8337573685624
sub-23	sensory_posterior_insula_R	sensory_posterior_insula_R	558.1306457333009	778.5532052750985	1262.4512041227244	704.3205583894236	483.8979988476259	-220.42255954179768	131.73771965291405
sub-23	sensory_thalamus_L	sensory_thalamus_L	-65.58216594775281	82.86742467237582	123.7695854030543	189.3517513508071	40.902160730678474	-148.44959062012862	-53.77371494472508
sub-23	sensory_thalamus_R	sensory_thalamus_R	292.8698980181649	155.72846759489164	108.8654412706821	-184.00445674748283	-46.86302632420954	137.14143042327328	45.13920204953186
sub-24	expl_amygdala_L	expl_amygdala_L	-693.8430975867421	-25.934334234084357	540.3686989430225	1234.2117965297648	566.3030331771068	-667.9087633526578	-50.802865087775444
sub-24	expl_amygdala_R	expl_amygdala_R	-75.77157798809176	112.96075573555248	185.75305275737665	261.5246307454684	72.79229702182417	-188.73233372364425	-57.97001835091004
